subject,training_fraction,training_trials,repeat,balanced_accuracy
12,0.5,15,4,0.42857142857142855
12,0.75,23,0,0.5714285714285714
12,0.75,23,1,0.3571428571428571
12,0.75,23,2,0.14285714285714285
12,0.75,23,3,0.42857142857142855
12,0.75,23,4,0.3571428571428571
12,1.0,31,0,0.5
12,1.0,31,1,0.5
12,1.0,31,2,0.5
12,1.0,31,3,0.5
12,1.0,31,4,0.5
13,0.25,7,0,0.42857142857142855
13,0.25,7,1,0.5714285714285714
13,0.25,7,2,0.4285714285714286
13,0.25,7,3,0.35714285714285715
13,0.25,7,4,0.3571428571428571
13,0.5,15,0,0.5714285714285714
13,0.5,15,1,0.5
13,0.5,15,2,0.5
13,0.5,15,3,0.5
13,0.5,15,4,0.5
13,0.75,23,0,0.7142857142857142
13,0.75,23,1,0.5
13,0.75,23,2,0.5
13,0.75,23,3,0.5
13,0.75,23,4,0.3571428571428571
13,1.0,31,0,0.5
13,1.0,31,1,0.5
13,1.0,31,2,0.5
13,1.0,31,3,0.5
13,1.0,31,4,0.5
14,0.25,7,0,0.5
14,0.25,7,1,0.5714285714285714
14,0.25,7,2,0.5
14,0.25,7,3,0.3571428571428571
14,0.25,7,4,0.3571428571428571
14,0.5,15,0,0.5
14,0.5,15,1,0.5714285714285714
14,0.5,15,2,0.2857142857142857
14,0.5,15,3,0.42857142857142855
14,0.5,15,4,0.3571428571428571
14,0.75,23,0,0.42857142857142855
14,0.75,23,1,0.6428571428571428
14,0.75,23,2,0.5
14,0.75,23,3,0.5
14,0.75,23,4,0.42857142857142855
14,1.0,31,0,0.6428571428571428
14,1.0,31,1,0.6428571428571428
14,1.0,31,2,0.6428571428571428
14,1.0,31,3,0.6428571428571428
14,1.0,31,4,0.6428571428571428
15,0.25,7,0,0.42857142857142855
15,0.25,7,1,0.42857142857142855
15,0.25,7,2,0.5
15,0.25,7,3,0.42857142857142855
15,0.25,7,4,0.35714285714285715
15,0.5,15,0,0.5
15,0.5,15,1,0.7857142857142857
15,0.5,15,2,0.4285714285714286
15,0.5,15,3,0.6428571428571428
15,0.5,15,4,0.5714285714285714
15,0.75,23,0,0.7857142857142857
15,0.75,23,1,0.9285714285714286
15,0.75,23,2,0.5
15,0.75,23,3,0.6428571428571428
15,0.75,23,4,0.7857142857142857
15,1.0,31,0,0.7142857142857142
15,1.0,31,1,0.7142857142857142
15,1.0,31,2,0.7142857142857142
15,1.0,31,3,0.7142857142857142
15,1.0,31,4,0.7142857142857142
16,0.25,7,0,0.5
16,0.25,7,1,0.5714285714285714
16,0.25,7,2,0.4285714285714286
16,0.25,7,3,0.6428571428571428
16,0.25,7,4,0.3571428571428571
16,0.5,15,0,0.42857142857142855
16,0.5,15,1,0.5714285714285714
16,0.5,15,2,0.5
16,0.5,15,3,0.5
16,0.5,15,4,0.5
16,0.75,23,0,0.5714285714285714
16,0.75,23,1,0.42857142857142855
16,0.75,23,2,0.5
16,0.75,23,3,0.5
16,0.75,23,4,0.5
16,1.0,31,0,0.5
16,1.0,31,1,0.5
16,1.0,31,2,0.5
16,1.0,31,3,0.5
16,1.0,31,4,0.5
17,0.25,7,0,0.42857142857142855
17,0.25,7,1,0.42857142857142855
17,0.25,7,2,0.5
17,0.25,7,3,0.42857142857142855
17,0.25,7,4,0.5
17,0.5,15,0,0.42857142857142855
17,0.5,15,1,0.5
17,0.5,15,2,0.5714285714285714
17,0.5,15,3,0.35714285714285715
17,0.5,15,4,0.35714285714285715
17,0.75,23,0,0.5714285714285714
17,0.75,23,1,0.42857142857142855
17,0.75,23,2,0.7142857142857142
17,0.75,23,3,0.6428571428571428
17,0.75,23,4,0.5714285714285714
17,1.0,31,0,0.4285714285714286
17,1.0,31,1,0.4285714285714286
17,1.0,31,2,0.4285714285714286
17,1.0,31,3,0.4285714285714286
17,1.0,31,4,0.4285714285714286
18,0.25,7,0,0.3571428571428571
18,0.25,7,1,0.42857142857142855
18,0.25,7,2,0.7142857142857143
18,0.25,7,3,0.5
18,0.25,7,4,0.4285714285714286
18,0.5,15,0,0.3571428571428571
18,0.5,15,1,0.42857142857142855
18,0.5,15,2,0.5714285714285714
18,0.5,15,3,0.5
18,0.5,15,4,0.5
18,0.75,23,0,0.42857142857142855
18,0.75,23,1,0.5
18,0.75,23,2,0.3571428571428571
18,0.75,23,3,0.6428571428571428
18,0.75,23,4,0.3571428571428571
18,1.0,31,0,0.5
18,1.0,31,1,0.5
18,1.0,31,2,0.5
18,1.0,31,3,0.5
18,1.0,31,4,0.5
19,0.25,7,0,0.35714285714285715
19,0.25,7,1,0.21428571428571427
19,0.25,7,2,0.5
19,0.25,7,3,0.5
19,0.25,7,4,0.4285714285714286
19,0.5,15,0,0.6428571428571428
19,0.5,15,1,0.6428571428571428
19,0.5,15,2,0.6428571428571428
19,0.5,15,3,0.5714285714285714
19,0.5,15,4,0.2857142857142857
19,0.75,23,0,0.5714285714285714
19,0.75,23,1,0.8571428571428571
19,0.75,23,2,0.6428571428571428
19,0.75,23,3,0.5
19,0.75,23,4,0.42857142857142855
19,1.0,31,0,0.6428571428571428
19,1.0,31,1,0.6428571428571428
19,1.0,31,2,0.6428571428571428
19,1.0,31,3,0.6428571428571428
19,1.0,31,4,0.6428571428571428
20,0.25,7,0,0.6428571428571428
20,0.25,7,1,0.5
20,0.25,7,2,0.7142857142857143
20,0.25,7,3,0.35714285714285715
20,0.25,7,4,0.5
20,0.5,15,0,0.5
20,0.5,15,1,0.5714285714285714
20,0.5,15,2,0.5714285714285714
20,0.5,15,3,0.5
20,0.5,15,4,0.5
20,0.75,23,0,0.6428571428571428
20,0.75,23,1,0.6428571428571428
20,0.75,23,2,0.5714285714285714
20,0.75,23,3,0.5714285714285714
20,0.75,23,4,0.7142857142857143
20,1.0,31,0,0.5
20,1.0,31,1,0.5
20,1.0,31,2,0.5
20,1.0,31,3,0.5
20,1.0,31,4,0.5
